File Name;Cluster
img-fm1000215.jpg;26
img-fm1001186.jpg;57
img-fm1001570.jpg;61
img-fm1022730.jpg;20
img-fm1022968.jpg;20
img-fm1024045.jpg;59
img-fm1024059.jpg;63
img-fm1037295.jpg;40
img-fm1037916.jpg;89
img-fm1045819.jpg;63
img-fm1048507.jpg;33
img-fm1056947.jpg;33
img-fm1056953.jpg;57
img-fm1060440.jpg;26
img-fm1067477.jpg;4
img-fm1068010.jpg;26
img-fm1068047.jpg;20
img-fm1072311.jpg;59
img-fm1072769.jpg;63
img-fm1072793.jpg;48
img-fm1072852.jpg;20
img-fm1073087.jpg;59
img-fm1073404.jpg;20
img-fm1074501.jpg;89
img-fm1074515.jpg;99
img-fm1078474.jpg;26
img-fm1079107.jpg;89
img-fm1079108.jpg;4
img-fm108.jpg;4
img-fm1081873.jpg;20
img-fm1089589.jpg;99
img-fm1089915.jpg;45
img-fm1090848.jpg;99
img-fm1091242.jpg;20
img-fm1093887.jpg;99
img-fm1093924.jpg;33
img-fm1093925.jpg;33
img-fm1093926.jpg;33
img-fm1093928.jpg;33
img-fm1094519.jpg;77
img-fm1095293.jpg;59
img-fm1099615.jpg;59
img-fm1102392.jpg;35
img-fm1102407.jpg;72
img-fm1102408.jpg;72
img-fm1102410.jpg;59
img-fm1102411.jpg;45
img-fm1102412.jpg;72
img-fm1102413.jpg;45
img-fm1102423.jpg;63
img-fm1102450.jpg;97
img-fm1102464.jpg;72
img-fm1102467.jpg;63
img-fm1102473.jpg;72
img-fm1102502.jpg;80
img-fm1103135.jpg;20
img-fm1103661.jpg;7
img-fm1109585.jpg;59
img-fm1110274.jpg;89
img-fm1110275.jpg;6
img-fm1110276.jpg;63
img-fm1110277.jpg;63
img-fm1110278.jpg;89
img-fm1110280.jpg;6
img-fm1110281.jpg;63
img-fm1119111.jpg;4
img-fm1122976.jpg;21
img-fm1124457.jpg;2
img-fm1127939.jpg;5
img-fm1130708.jpg;33
img-fm1134686.jpg;80
img-fm1134691.jpg;80
img-fm1147113.jpg;20
img-fm1147690.jpg;6
img-fm1147830.jpg;21
img-fm1147851.jpg;21
img-fm1153135.jpg;72
img-fm1153480.jpg;99
img-fm1163881.jpg;20
img-fm1168933.jpg;33
img-fm1174183.jpg;43
img-fm1174187.jpg;77
